 Package                      Name                                                           Version               
 @font-your-face              @font-your-face (fontyourface)                                 7.x-2.4               
 @font-your-face              @font-your-face UI (fontyourface_ui)                           7.x-2.4               
 @font-your-face              Google Fonts API (google_fonts_api)                            7.x-2.4               
 @font-your-face              Local Fonts (local_fonts)                                      7.x-2.4               
 Administration               Administration menu (admin_menu)                               7.x-3.0-rc4           
 Administration               Administration menu Adminimal Theme (adminimal_admin_menu)     7.x-1.5               
 Administration               Administration views (admin_views)                             7.x-1.1               
 Administration               Filter permissions (filter_perms)                              7.x-1.0               
 Administration               Module filter (module_filter)                                  7.x-2.0-alpha2        
 Chaos tool suite             Chaos tools (ctools)                                           7.x-1.4+10-dev        
 Chaos tool suite             Custom content panes (ctools_custom_content)                   7.x-1.4+10-dev        
 Chaos tool suite             Page manager (page_manager)                                    7.x-1.4+10-dev        
 Chaos tool suite             Views content panes (views_content)                            7.x-1.4+10-dev        
 Commerce                     Cart (commerce_cart)                                           7.x-1.11              
 Commerce                     Checkout (commerce_checkout)                                   7.x-1.11              
 Commerce                     Commerce (commerce)                                            7.x-1.11              
 Commerce                     Commerce UI (commerce_ui)                                      7.x-1.11              
 Commerce                     Customer (commerce_customer)                                   7.x-1.11              
 Commerce                     Line Item (commerce_line_item)                                 7.x-1.11              
 Commerce                     Line Item UI (commerce_line_item_ui)                           7.x-1.11              
 Commerce                     Order (commerce_order)                                         7.x-1.11              
 Commerce                     Order UI (commerce_order_ui)                                   7.x-1.11              
 Commerce                     Payment (commerce_payment)                                     7.x-1.11              
 Commerce                     Payment Method Example (commerce_payment_example)              7.x-1.11              
 Commerce                     Payment UI (commerce_payment_ui)                               7.x-1.11              
 Commerce                     Price (commerce_price)                                         7.x-1.11              
 Commerce                     Product (commerce_product)                                     7.x-1.11              
 Commerce                     Product Pricing (commerce_product_pricing)                     7.x-1.11              
 Commerce                     Product Reference (commerce_product_reference)                 7.x-1.11              
 Commerce                     Product UI (commerce_product_ui)                               7.x-1.11              
 Commerce (contrib)           Commerce Attributes Date (commerce_attributes_date)            7.x-1.0               
 Commerce (contrib)           Commerce Backoffice (commerce_backoffice)                      7.x-1.2               
 Commerce (contrib)           Commerce Backoffice Order (commerce_backoffice_order)          7.x-1.2               
 Commerce (contrib)           Commerce Backoffice Product (commerce_backoffice_product)      7.x-1.2               
 Commerce (contrib)           Commerce Checkout Progress (commerce_checkout_progress)        7.x-1.2               
 Commerce (contrib)           Commerce Checkout Redirect (commerce_checkout_redirect)        7.x-2.0-rc1           
 Commerce (contrib)           Commerce Recurring (commerce_recurring)                        7.x-2.x-dev           
 Commerce (contrib)           Commerce Recurring UI (commerce_recurring_ui)                  7.x-2.x-dev           
 Commerce (contrib)           Commerce Rules Extra (commerce_rules_extra)                    7.x-2.1               
 Commerce (contrib)           Customizable Products (commerce_custom_product)                7.x-1.0-beta2         
 Context                      Context (context)                                              7.x-3.2               
 Context                      Context UI (context_ui)                                        7.x-3.2               
 Date/Time                    Calendar (calendar)                                            7.x-3.4               
 Date/Time                    Date (date)                                                    7.x-2.9-alpha2        
 Date/Time                    Date All Day (date_all_day)                                    7.x-2.9-alpha2        
 Date/Time                    Date API (date_api)                                            7.x-2.9-alpha2        
